Marka,Model,Nazwa części,Cena zakupu [zł],Średnia cena rynkowa,Ilość aukcji na rynku,Popyt
BMW,e46,Wahacz przedni,280,320,320,400
AUDI,A6,Amortyzator tylni,580,650,400,500
Volksvagen,Golf 7,Klocki hamulcowe,160,180,700,1000
Opel,Insignia,Maglownica,490,600,150,170
Skoda,Fabia,Sprzęgło dwumasowe,2350,2500,180,150
Mazda,mx5,Wtrysk bezpośredni paliwa,350,365,1000,1300
Toyota,Corolla,Tarcza hamulcowa,320,325,1200,1500
Fiat,Panda,Sprężyna przednia,120,150,600,700
Alfa Romeo,Gulia,Filtr oleju,49,55,2000,3000
Chevrolet,Camaro,Chłodnica,3000,3500,50,70
